"ArsenicActiveConcentration","BoronActiveConcentration","DopingConcentration","Electron density [cm-3]","Electrostatic potential [V]","Hole density [cm-3]","PhosphorusActiveConcentration","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,6.7000001669e-02,2.5000000373e-02,2.5000000373e-02,6.7000001669e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,6.8000003695e-02,2.5000000373e-02,2.5000000373e-02,6.8000003695e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,6.8999998271e-02,2.5000000373e-02,2.5000000373e-02,6.8999998271e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,7.0000000298e-02,2.5000000373e-02,2.5000000373e-02,7.0000000298e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,7.1000002325e-02,2.5000000373e-02,2.5000000373e-02,7.1000002325e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,7.1999996901e-02,2.5000000373e-02,2.5000000373e-02,7.1999996901e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,7.2999998927e-02,2.5000000373e-02,2.5000000373e-02,7.2999998927e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,7.4000000954e-02,2.5000000373e-02,2.5000000373e-02,7.4000000954e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,7.5000002980e-02,2.5000000373e-02,2.5000000373e-02,7.5000002980e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,7.5999997556e-02,2.5000000373e-02,2.5000000373e-02,7.5999997556e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,7.6999999583e-02,2.5000000373e-02,2.5000000373e-02,7.6999999583e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,7.8000001609e-02,2.5000000373e-02,2.5000000373e-02,7.8000001609e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,7.9000003636e-02,2.5000000373e-02,2.5000000373e-02,7.9000003636e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,7.9999998212e-02,2.5000000373e-02,2.5000000373e-02,7.9999998212e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,8.1000000238e-02,2.5000000373e-02,2.5000000373e-02,8.1000000238e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,8.2000002265e-02,2.5000000373e-02,2.5000000373e-02,8.2000002265e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,8.2999996841e-02,2.5000000373e-02,2.5000000373e-02,8.2999996841e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,8.3999998868e-02,2.5000000373e-02,2.5000000373e-02,8.3999998868e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,8.5000000894e-02,2.5000000373e-02,2.5000000373e-02,8.5000000894e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,8.6000002921e-02,2.5000000373e-02,2.5000000373e-02,8.6000002921e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,8.6999997497e-02,2.5000000373e-02,2.5000000373e-02,8.6999997497e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,8.7999999523e-02,2.5000000373e-02,2.5000000373e-02,8.7999999523e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,8.9000001550e-02,2.5000000373e-02,2.5000000373e-02,8.9000001550e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,9.0000003576e-02,2.5000000373e-02,2.5000000373e-02,9.0000003576e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,9.0999998152e-02,2.5000000373e-02,2.5000000373e-02,9.0999998152e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,9.2000000179e-02,2.5000000373e-02,2.5000000373e-02,9.2000000179e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,9.3000002205e-02,2.5000000373e-02,2.5000000373e-02,9.3000002205e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,9.3999996781e-02,2.5000000373e-02,2.5000000373e-02,9.3999996781e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,9.4999998808e-02,2.5000000373e-02,2.5000000373e-02,9.4999998808e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,9.6000000834e-02,2.5000000373e-02,2.5000000373e-02,9.6000000834e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,9.7000002861e-02,2.5000000373e-02,2.5000000373e-02,9.7000002861e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,9.7999997437e-02,2.5000000373e-02,2.5000000373e-02,9.7999997437e-02
0.0000000000e+00,1.0000000000e+17,-1.0000000000e+17,1.1556250000e+03,-3.1484638484e-01,1.0000000000e+17,0.0000000000e+00,1,9.8999999464e-02,2.5000000373e-02,2.5000000373e-02,9.8999999464e-02
nan,nan,nan,nan,nan,nan,nan,0,1.0000000149e-01,2.5000000373e-02,2.5000000373e-02,1.0000000149e-01
